watchers,size
28,852
8,421
4,264
1,4571
1,120
39,1009
1,2008
7,1551
1,140
1,48
3,689
45,209200
4,1694
4,349
83,12879
1,27612
2,164
2,92
1,140
1,216
1,48
1,708
9,158
5,3633
24,9055
3,1432
3,1030
1,876
1,800
3,104
4,104
1,203
1,163
1,412
1,112
2,2338
1,5739
1,48
4,179
8,150
89,99413
1,120
64,444
1,48
2,28192
2,2696
2,15734
51,9170
1,2408
2,117
1,124
3,1921
2,29916
1,48
30,4889
6,7248
5,586
4,23453
6,292
2,90234
2,188
5,9667
2,444
2,600
4,5303
1,120
1,48
2,128
1,48
1,48
1,156
2,48
2,1684
239,241
1,96
2,704
4,324
1,124
1,2968
2,1940
2,688
20,1446
6,126625
33,2830
3,4026
4,114388
2,104
1,112
2,3400
1,88
1,316
1,48
1,100
1,468
6,11266
1,648
1,2044
1,48
1,484
2,231
4,5437
1,180
1,1372
23,940
13,359
16,3780
20,245
2,209
3,15171
5,2269
2,168
2,34064
2,7328
4,192
2,23152
5,8235
2,2636
1,440
1,796
1,180
1,112
3,1080
99,200
2,3888
1,208
16,244
9,175
8,6082
17,318
4,362
2,112
1,352
1,224
1,424
1,564
1,100
2203,1491
1,48
6,119
21,333
5,1788
31,557
4,21531
5,17942
4,1589
13,188580
2,108
1,4764
1,2309
1,112
1,404
1,24956
450,291
1,359
1,112
42,1461
1,344
2,224
12,4802
7,2748
4,35854
3,33445
1,549
5,8370
2,96
1,124
1,176
1,48
1,132
1,164
24,53433
1,136
2,120
1,108
1,3442
1,128
1,392
1,213
1,328
1,664
1,132
40,501
1,150
2,916
7,11742
79,7098
7,301
4,84216
2,1535
2,776
1,48
3,150
2,48
1,996
1,136
3,99671
1,5044
71,140625
1,260
302,1529
13,119
5,2267
6,124
6,2519
2,11014
8,415
3,176
2,252
4,195
6,2297
1,48
1,48
2,147
4,3224
1,4551
1,1284
1,5556
2,820
1,144
16,11746
1,108
184,6942
2,532
2,660
1,1560
2,15915
1,48
1,48
1,104
11,234
8,6845
6,1393
10,422
2,23550
1,48
1,92
4,120
1,600
5,456
3,300
1,132
2,3992
1,7364
33,117
1,132
1,3298
2,9792
18,1913
1,48
19,86796
48,678
4,19185
5,45782
2,104
1,63273
2,17999
2,9267
1,89
2,110
1,331
2,118
133,213
1,104
1,476
1,48
1,188
1,100
1,48
3,107252
1,48
1,48
1,148
1,1284
1,1600
6,184
1,120
1,668
6,718
5,98398
1,584
1,48
1,122
2,422
4,2052
3,468
14,863
5,13436
5,44265
9,3784
4,6440
1,48
2,92
22,1254
1,33840
1,168
1,164
1,100
1,2224
1,116
1,120
1,328
5,158
1,180
23,27926
12,1398
4,640
14,1123
5,303
2,115
2,1702
5,577
1,128
5,3877
1,96
1,100
1,1696
4,224
7,427
20,1899
1,100
1,204
1,2431
1,420
18,733
2,364
1,2012
199,18855
2,92
19,614
3,1897
23,512
4,113
3,3280
7,1529
7,492
4,350
1,96
1,106
1,2492
1,300
1,216
1,1268
1,1412
1,104
1,120
1,1144
2,124
2,282
1313,5502
1,48
1,164
1,108
2,299
523,1054
1,456
16,7479
1,129
313,3872
2,12455
8,165
82,1180
3,1925
14,1529
7,141
2,116
15,29609
2,148
1,48
1,216
3,344
1,888
1,48
2,156
1,120
2,108
1,1440
1,160
2,2468
1,1640
388,871
5,160
49,196
4,172
5,1559
2,90
1,216
1,204
1,340
1,48
1,120
2,104
1,188
1,428
2,2775
8,4068
26,2595
1,112
395,8917
1,1412
1,168
3,587
7,551
1,88
1,48
3,1568
186,710
1,48
3,126
1,410
1,276
3,1205
2,116
2,222
7,104
1,672
1,152
3,297
1,48
33,621
22,455
11,400
1,48
6,177
2,1392
8,420
2,112
1,100
25,72741
1,196
1,124
1,48
1,120
1,180
6,8768
2,116
1,27927
1180,1288
2,104
1,100
1,116
1,96
1,6132
1,104
1,9312
2,4928
1,2064
1,2636
1,5504
1,30776
1,292
1,2028
1,108
1,2344
2,100
1,3000
52,202
61,21241
5,19027
14,2521
3,130
1,148
3,396
93,4158
25,1446
11,124
2,128
173,303
1,88
1,1571
3,2134
29,250
2,200
1,92
1,48
1,184
2,872
1,72
1,120
1,156
1,136
3,7040
1,120
15,154
18,965
3,244
1,100
2,104
2,3084
1,329
3,984
1,264
2,136
1,112
1,277
1,124
2,116
1,2120
34,59405
1,48
1,48
9,202
1,220
1,48
1,48
473,12700
9,1946
3,120
3,7000
1,48
1,2804
1,100
1,48
1,108
1,9300
2,101
1,140
3,1353
9,257
1,180
1,332
1,121
3,60995
1,1824
18,1092
10,4919
9,3180
2,1400
12,140
2,28540
1,48
1,172
3,178
2,548
12,889
4,748
1,2304
2,2052
3,94
4,136
2,852
10,12060
2,128
2,97
5,167
3,3053
1,160
1,234
1,144
1,92
1,236
1,48
1,136
1,3316
1,48
2,16104
1,48
1,96
1,92
1,192
27,10763
18,25813
3,121135
1,7722
96,100
3,3515
2,204
4,91
2,1632
2,1359
1,48
4,124
1,678
2,1264
1,48
1,328
16,579
1,108
1,148
5,288
1,68962
1,48
44,5710
11,232
1,96
1,3076
1,5088
1,208
1,48
1,108
1,100
1,204
1,48
1,112
1,112
3,104
6,120
8,228
190,34317
5,21733
5,316
4,12072
1,48
33,506
3,147
1,92
1,88
1,112
1,96
1,48
3,176
2,208
3,224
1,25348
1,2048
1,208
1,328
1,124
1,592
1,100
2,9241
9,7891
2,114470
2,236
5,620
81,2766
107,14090
